Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,SW_SPDT,SW_SPDT_PCM12,151.241697,-113.093493,0.0,bottom
C_LDO1,1u,C_0402_1005Metric,142.751697,-87.208491,0.0,bottom
C_LDO2,1u,C_0402_1005Metric,145.231693,-89.488496,90.0,bottom
C_Shield1,4.7n,C_0402_1005Metric,151.912248,-44.638494,180.0,bottom
C_VDD1,100n,C_0402_1005Metric,143.531698,-105.428492,90.0,bottom
C_VDD2,100n,C_0402_1005Metric,144.601696,-105.428497,90.0,bottom
C_VDD3,4.7u,C_0402_1005Metric,132.071696,-99.718493,-90.0,bottom
C_VDDA1,10u,C_0402_1005Metric,136.6617,-110.368495,0.0,bottom
C_VDDA2,1u,C_0402_1005Metric,136.661691,-111.448497,0.0,bottom
C_VDDIO1,4.7u,C_0402_1005Metric,141.071693,-96.708495,180.0,bottom
C_VDDIO2,100n,C_0402_1005Metric,141.071702,-95.658497,180.0,bottom
D_ESD1,PRTR5V0U2X,SOT143B,144.102249,-46.59849,0.0,bottom
D_LDO1,RB060MM_60TR,D_SOD-123,143.181695,-92.468499,0.0,bottom
D_PWR1,SM9.0CA,D_SOD-123,151.626611,-49.579848,180.0,bottom
D_SW_0,D_Small,D_SOD-123,217.333501,-53.109872,102.0,bottom
D_SW_1,D_Small,D_SOD-123,38.081707,-53.942249,90.0,bottom
D_SW_2,D_Small,D_SOD-123,56.741687,-51.797591,90.0,bottom
D_SW_3,D_Small,D_SOD-123,76.982836,-56.386025,78.0,bottom
D_SW_4,D_Small,D_SOD-123,95.624572,-60.345458,78.0,bottom
D_SW_5,D_Small,D_SOD-123,114.246103,-64.30697,78.0,bottom
D_SW_6,D_Small,D_SOD-123,132.900358,-68.262446,78.0,bottom
D_SW_7,D_Small,D_SOD-123,161.435976,-64.996303,102.0,bottom
D_SW_8,D_Small,D_SOD-123,180.040226,-61.060813,102.0,bottom
D_SW_9,D_Small,D_SOD-123,198.679693,-57.079519,102.0,bottom
D_SW_A1,D_Small,D_SOD-123,44.161699,-92.058497,90.0,bottom
D_SW_B1,D_Small,D_SOD-123,125.64783,-125.179427,78.0,bottom
D_SW_B2,D_Small,D_SOD-123,159.305987,-123.877351,102.0,bottom
D_SW_Back1,D_Small,D_SOD-123,294.471698,-53.963603,90.0,bottom
D_SW_C1,D_Small,D_SOD-123,88.38599,-117.244941,78.0,bottom
D_SW_Caps1,D_Small,D_SOD-123,18.001699,-92.002249,90.0,bottom
D_SW_Comm1,D_Small,D_SOD-123,215.221663,-111.993223,102.0,bottom
D_SW_D1,D_Small,D_SOD-123,83.026628,-96.653707,78.0,bottom
D_SW_Dash1,D_Small,D_SOD-123,237.731703,-51.792246,90.0,bottom
D_SW_Del1,D_Small,D_SOD-123,-3.963387,-51.813602,90.0,bottom
D_SW_Dn1,D_Small,D_SOD-123,-12.1883,-89.912245,90.0,bottom
D_SW_E1,D_Small,D_SOD-123,82.328435,-77.017922,78.0,bottom
D_SW_Enter1,D_Small,D_SOD-123,290.961701,-92.056705,90.0,bottom
D_SW_Eql1,D_Small,D_SOD-123,256.341702,-53.932252,90.0,bottom
D_SW_Esc1,D_Small,D_SOD-123,19.051689,-53.942244,90.0,bottom
D_SW_F1,D_Small,D_SOD-123,101.676289,-100.592911,78.0,bottom
D_SW_Fn1,D_Small,D_SOD-123,307.101697,-111.0785,90.0,bottom
D_SW_G1,D_Small,D_SOD-123,120.308038,-104.542344,78.0,bottom
D_SW_H1,D_Small,D_SOD-123,164.671591,-103.285468,102.0,bottom
D_SW_J1,D_Small,D_SOD-123,183.301471,-99.318333,102.0,bottom
D_SW_K1,D_Small,D_SOD-123,201.931359,-95.331209,102.0,bottom
D_SW_L1,D_Small,D_SOD-123,220.585176,-91.361548,102.0,bottom
D_SW_LAlt1,D_Small,D_SOD-123,64.934969,-133.270129,78.0,bottom
D_SW_LBrc1,D_Small,D_SOD-123,250.981695,-72.982258,90.0,bottom
D_SW_LCtl1,D_Small,D_SOD-123,11.431698,-130.162246,90.0,bottom
D_SW_LFn1,D_Small,D_SOD-123,134.681494,-146.561001,78.0,bottom
D_SW_LSft1,D_Small,D_SOD-123,18.561703,-111.097804,90.0,bottom
D_SW_LSpc1,D_Small,D_SOD-123,104.361975,-140.106617,78.0,bottom
D_SW_M1,D_Small,D_SOD-123,196.579697,-115.950583,102.0,bottom
D_SW_N1,D_Small,D_SOD-123,177.957731,-119.927936,102.0,bottom
D_SW_O1,D_Small,D_SOD-123,211.970208,-73.73363,102.0,bottom
D_SW_P1,D_Small,D_SOD-123,232.331695,-71.94225,90.0,bottom
D_SW_Pipe1,D_Small,D_SOD-123,293.841704,-73.012251,90.0,bottom
D_SW_PP2,D_Small,D_SOD-123,275.051701,-55.4536,90.0,bottom
D_SW_Q1,D_Small,D_SOD-123,43.451697,-73.002247,90.0,bottom
D_SW_Quot1,D_Small,D_SOD-123,260.0117,-92.042242,90.0,bottom
D_SW_R1,D_Small,D_SOD-123,100.960388,-80.965275,78.0,bottom
D_SW_RAlt1,D_Small,D_SOD-123,220.02094,-131.987855,102.0,bottom
D_SW_RBrc1,D_Small,D_SOD-123,270.021695,-73.002245,90.0,bottom
D_SW_RCtl1,D_Small,D_SOD-123,298.571703,-130.192251,90.0,bottom
D_SW_Rsft1,D_Small,D_SOD-123,290.361699,-111.078496,90.0,bottom
D_SW_RSpc1,D_Small,D_SOD-123,179.638518,-139.048268,102.0,bottom
D_SW_S1,D_Small,D_SOD-123,64.43236,-92.668212,78.0,bottom
D_SW_Scln1,D_Small,D_SOD-123,240.961707,-92.042254,90.0,bottom
D_SW_Slsh1,D_Small,D_SOD-123,254.631705,-111.122247,90.0,bottom
D_SW_Stop1,D_Small,D_SOD-123,235.601701,-111.102251,90.0,bottom
D_SW_T1,D_Small,D_SOD-123,119.612142,-84.924703,78.0,bottom
D_SW_Tab1,D_Small,D_SOD-123,19.6517,-73.01225,90.0,bottom
D_SW_U1,D_Small,D_SOD-123,174.7165,-81.640413,102.0,bottom
D_SW_Up1,D_Small,D_SOD-123,-8.128295,-70.852252,90.0,bottom
D_SW_V1,D_Small,D_SOD-123,107.017956,-121.212298,78.0,bottom
D_SW_W1,D_Small,D_SOD-123,63.726684,-73.028487,78.0,bottom
D_SW_X1,D_Small,D_SOD-123,69.756313,-113.275732,78.0,bottom
D_SW_Y1,D_Small,D_SOD-123,156.062675,-85.610052,102.0,bottom
D_SW_Z1,D_Small,D_SOD-123,49.491694,-111.102243,90.0,bottom
F1,500mA,Fuse_0805_2012Metric,147.292238,-48.508489,-90.0,bottom
R_BOOT1,10k,R_0402_1005Metric,148.331701,-106.308497,-90.0,bottom
R_LDO1,100k,R_0402_1005Metric,142.751695,-86.118495,0.0,bottom
R_LDO2,100k,R_0402_1005Metric,146.371697,-89.488494,90.0,bottom
R_LED1,R_Small,R_0402_1005Metric,-22.643392,-125.229856,180.0,bottom
R_LED2,R_Small,R_0402_1005Metric,-22.643389,-130.159848,180.0,bottom
R_LED3,R_Small,R_0402_1005Metric,-22.643394,-134.659847,180.0,bottom
R_RGB1,10k,R_0402_1005Metric,136.5717,-95.708498,90.0,bottom
R_Shield1,1M,R_0402_1005Metric,151.912238,-43.558495,180.0,bottom
R_USB1,5k1,R_0402_1005Metric,139.661317,-44.264519,180.0,bottom
R_USB2,5k1,R_0402_1005Metric,149.24224,-44.25849,0.0,bottom
RESET1,SW_Push,SW_SPST_TL3342,142.371698,-113.978501,180.0,bottom
U_MCU1,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,137.811696,-102.578494,90.0,bottom
U_Power1,MCP1700-3302E_SOT23,SOT-23,142.751696,-89.488499,180.0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,144.145,-34.255,180.0,top
